Mention Year,Current Mess,Quality of food,Food Variety,Adequacy of food and position of queue at the counter,Hygiene Levels,Overall Rating,Review
Junior,CRCL,4,3,4,3,3,Overall nice
Fresher,CRCL,3,1,2,2,5,Taste is good 
Fresher,CRCL,2,3,3,3,3,Good
Sophomore,CRCL,3,2,2,1,3,Better
Junior,CRCL,1,1,2,2,4,"Everything is bad , we can't get our favourites"
Fresher,CRCL,3,4,1,4,5,Fried food quantity must be increased along with soft chapaties
Fresher,CRCL,3,3,3,3,5,Okay not bad food
Senior,CRCL,5,4,5,3,5,nice food
Senior,CRCL,3,5,3,3,2,chicken is nice
Sophomore,CRCL,3,4,4,3,3,nice food
Sophomore,CRCL,1,1,2,4,5,Potatoes and Paneer fry is vey hard
Fresher,CRCL,3,4,2,3,4,Horrible our money is wasted
Fresher,CRCL,2,4,4,3,2,Tasty
Senior,CRCL,2,4,4,3,4,Nice only
Senior,CRCL,3,4,5,3,3,Better food compared to the other mess
Senior,CRCL,3,3,3,2,3,Honeslty the food is better
Junior,CRCL,3,2,4,2,3,Hygiene is not maintained
Sophomore,CRCL,4,3,1,2,3,Need to improve quality and varities
Senior,CRCL,4,4,4,4,4,CRCL is great mess.
Junior,CRCL,4,4,3,5,4,Need to improve the q waiting system and taste of food remains the same almost everyday
Senior,CRCL,5,5,5,5,5,Overall best
Senior,CRCL,3,3,3,3,3,Require more curries
Senior,CRCL,1,4,2,2,1,Can't eat
Senior,CRCL,2,5,2,2,2,Somewhat better
Senior,CRCL,4,4,3,4,4,the quality of food is good
Junior ,CRCL,3,2,3,2,3,the hygine is not upto the mark
Sophomore,CRCL,4,3,4,4,4,The curries are good
Sophomore,CRCL,4,4,4,4,3,The food is exiquiste
Senior,CRCL,2,2,3,2,3,roties are literaly the worst 
Junior,CRCL,3,3,2,3,2,The curries are not upto mark.
Sophomore,CRCL,4,4,4,4,4,Good food and good hygiene
Senior,CRCL,2,3,2,2,5,The salt and spice is very less
Senior,CRCL,4,3,4,4,4,Rooti's are so good
Junior ,CRCL,2,2,3,2,2,Dal is not good
Sophomore,CRCL,2,1,1,1,2,Food is not hot and not good
Fresher,CRCL,4,4,4,3,4,The quality is good
Junior,CRCL,3,2,3,2,1,The hygine is very bad and food is not tasty
Sophomore,CRCL,2,1,1,2,2,The serving is not good 
Fresher,CRCL,4,4,3,4,4,The quality is better 
Fresher,CRCL,3,2,1,2,1,Not quite happy with the quantity of food
Fresher,CRCL,4,3,4,4,5,Spice is good 
Sophomore,CRCL,4,4,4,4,4,Biryani is good and overall taste is also good
Junior,CRCL,2,1,2,1,1,Not serving hot food and taste is very bad
Sophomore,CRCL,4,4,3,4,4,Overall the curries are good
Fresher,CRCL,4,3,4,3,4,Roti's and curries are good
Junior,CRCL,3,2,1,2,1,No hygine and and the serving is very bad
Junior,CRCL,4,4,3,4,4,My overall experience is good
Senior,CRCL,1,1,1,1,1,The quantity of food is not sufficient
Senior,CRCL,4,3,4,4,4,non veg is so good 
Junior,CRCL,4,4,3,2,4,sweets are good should give more
Junior,CRCL,3,3,3,3,5,Generous portions and great taste.
Sophomore,CRCL,3,3,2,3,4,Food was new
Sophomore,CRCL,3,1,2,2,5,clean tables 
Junior,CRCL,3,3,3,4,5,aunties are nice 
Junior,CRCL,3,3,3,3,4,i liked the biryani 
Senior,CRCL,3,2,2,3,5,enoigh food for everyone 
Junior,CRCL,3,2,3,3,2,more varieties of fruits must be given
Senior,CRCL,4,4,3,4,4, non veg is good
Senior,CRCL,3,3,2,3,5,Potatoes and Paneer fry is vey hard
Sophomore,CRCL,3,2,3,1,2,Horrible our money is wasted
Senior,CRCL,1,1,1,1,1,okay okay
Senior,CRCL,3,3,2,4,5,"some curries are good , but the panneer quality isn't good"
Fresher,CRCL,3,3,3,2,4,Better food compared to the other mess
Fresher,CRCL,3,4,2,5,4,oily food
Fresher,CRCL,4,2,2,3,4,hard food
Junior,CRCL,3,2,2,1,4,i prefer soft food
Junior,CRCL,2,2,2,2,2,food is too oily
Fresher,CRCL,3,3,4,3,4,scrambled egg is too oily
Fresher,CRCL,4,5,5,2,4,Noice only
Fresher,CRCL,3,3,3,2,4,no place to complain 
Junior,CRCL,3,3,3,3,4,might give me a heart attack.
Senior,CRCL,3,4,5,2,4,so rude
Fresher,CRCL,3,2,3,3,2,noicceee
Fresher,CRCL,3,5,3,3,3,delicacies
Junior,CRCL,4,4,2,2,4,half food missing.
Junior,CRCL,2,2,2,2,2,worstt
Senior ,CRCL,1,1,1,1,1,ask them to leave 
Senior ,CRCL,1,5,1,1,1,quality not there
Senior ,CRCL,2,2,2,1,1,noice almost everything is available
Sophomore,CRCL,1,1,1,1,1,i never liked this mess
Sophomore,CRCL,1,1,1,1,1,The WORST MANAGEMENT EVER.
Junior,CRCL,1,5,1,1,1,they should be sued 
Junior,CRCL,4,3,4,4,3,insects and bugs and hair in my food 
Junior,CRCL,3,3,3,3,4,so much delay for worst food 
Senior,CRCL,3,2,2,3,4,exquisite
Sophomore,CRCL,3,2,2,3,3,Soggy and not good.
Sophomore,CRCL,2,4,2,2,3,Which are small and not worth the price.
Junior,CRCL,2,2,3,4,4,rude rude rude 
Junior,CRCL,2,2,2,1,2,yuck yuck
Junior,CRCL,3,3,3,3,3,ALL needed salt and pepper
Senior,CRCL,3,4,5,2,4,bring someone who can cook can come in.
Sophomore,CRCL,3,2,3,3,2,"It was either too cold, not enough flavor or just bad."
Junior ,CRCL,3,5,3,3,4,cooks are uninspired.
Junior,CRCL,4,4,2,2,3,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying people."
Junior,ABRR,3,4,2,2,3,hospital food is better
Junior,ABRR,4,3,4,3,4,nice yummy
Junior,ABRR,3,3,1,3,4,tasty food
Senior,ABRR,3,2,2,5,4,okay good 
Senior,ABRR,3,3,3,4,2,noicee 
Senior,CRCL,3,2,2,3,3,good food on sunday 
Senior,CRCL,2,4,2,2,4,Mess Management was super friendly.
Junior,CRCL,2,2,3,4,3,Why are these sad little vegetables so overcooked?
Fresher,CRCL,2,2,2,1,2,Curries are good and rice is also good
Sophomore,CRCL,3,3,4,4,3, delicious.
Sophomore,CRCL,3,3,3,3,3,"I had high hopes for this mess but unfortunately the taste fell flat, way flat."
Senior,CRCL,3,4,5,2,3,food is devine
Fresher,CRCL,3,2,3,3,2,quality and hygiene is disastrous
Sophomore,CRCL,3,5,3,3,3,Potatoes and Panneer are like stones
Sophomore,CRCL,4,4,2,2,3,Devastated
Junior,CRCL,2,4,3,5,5,Ya the mess is good me and my friends enjoy a lot
Junior,CRCL,1,1,1,1,4,Amazing mess better than other messess
Fresher,CRCL,3,4,5,4,4,night canteen is better now 
Fresher,CRCL,3,5,3,3,3,mess service is terrible
Fresher,CRCL,4,4,2,2,3,I love this place.
Sophomore,CRCL,4,5,3,4,4,I can say that the desserts were yummy.
Sophomore,CRCL,1,1,1,1,1,The food was terrible.
Fresher,CRCL,3,5,4,3,4,The seasonal fruits are nice
Fresher,CRCL,1,1,1,1,1,It kept getting worse and worse so now I'm officially done.
Junior,CRCL,3,3,3,3,3,Sometimes food is inadequate
Senior,CRCL,3,3,2,3,2,I love that they put their food nicely
Fresher,CRCL,3,2,2,2,2,Do not waste your money here!
Senior,CRCL,2,2,2,1,2,I love that they put their food in nice  containers maintaining the hygeine
Fresher,CRCL,3,3,4,4,3,The cr̻pe was delicate and thin and moist.
Fresher,CRCL,5,3,1,4,3,Awful service.
