,Review,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis
0,Better food.,  Better food,0.5,Positive,0.4404,Neutral
1,quality is degraded,  quality degrade,0.0,Neutral,-0.4404,Neutral
2,Everyday same food is repeated then what is the use of menu,  Everyday food repeat use menu,-0.2,Negative,0.0,Neutral
3,"Hygiene must be improved, the place is disgusting",  Hygiene must improve place disgust,0.0,Neutral,-0.25,Neutral
4,Increase the quantity of some of the curries,  Increase quantity curry,0.0,Neutral,0.3182,Neutral
5,Terrible management,  Terrible management,-1.0,Negative,-0.4767,Neutral
6,Increase the food quantity,  Increase food quantity,0.0,Neutral,0.3182,Neutral
7,Some curries are delicious but available once a month,  curry delicious available month,0.7,Positive,0.5719,Positive
8,They should keep salads and fruits. It is very limited,  keep salad fruit limited,-0.07142857142857142,Negative,-0.2263,Neutral
9,hygiene and quality must be checked and maintaned,  hygiene quality must check maintaned,0.0,Neutral,0.0,Neutral
10,curries are same and repeated daily,  curry repeat daily,0.0,Neutral,0.0,Neutral
11,Chapatis are not soft,  Chapatis soft,0.1,Positive,0.0,Neutral
12,Not tasty sometimes,  tasty sometimes,0.0,Neutral,0.0,Neutral
13,Hygiene should be maintained,  Hygiene maintain,0.0,Neutral,0.0,Neutral
14,Tastes should be improved and few changes in the menu,  Tastes improve change menu,0.0,Neutral,0.4404,Neutral
15,The mess could have been a lot more better  In face it is not a proper management of mess Firstly the disgusting smell in the mess is the worst part(veg mess) And I feel it will be better to have some healthy menu. Even for snacks we are being served with fast food items regularly  I hope that some simple fruits of vegetable stuff would be fine than regular oily foods,  mess could lot well face proper management mess Firstly disgusting smell mess bad part veg mess feel good healthy menu Even snack serve fast food item regularly hope simple fruit vegetable stuff would fine regular oily food,-0.041666666666666664,Negative,-0.6705,Negative
16,Need to little more organised,  Need little organised,-0.1875,Negative,0.0,Neutral
17,There's no variety,  variety,0.0,Neutral,0.0,Neutral
18,Stones in food found everyday,  Stones food find everyday,-0.2,Negative,0.0,Neutral
19,"Food isn't nutritious, no fruits apart from bananas, everything is fried",  Food nutritious fruit apart banana everything fry,0.0,Neutral,0.0,Neutral
20,It's not good,  good,0.7,Positive,0.4404,Neutral
21,Menu should have a variety of food in all days of week.,  Menu variety food day week,0.0,Neutral,0.0,Neutral
22,Way better than other hostel food. Should avoid wastage.,  Way good hostel food avoid wastage,0.7,Positive,0.1779,Neutral
23,chapatis are not cooked properly.,  chapati cook properly,0.0,Neutral,0.0,Neutral
24,Lot of food is wasted. No extra gulab jamun given. Also hygiene is a big issue.,  Lot food waste extra gulab jamun give Also hygiene big issue,-0.06666666666666667,Negative,-0.4215,Neutral
25,Please improve the quality of the rice….and improve the taste of the curries…better to change the food menu…,  Please improve quality rice improve taste curry well change food menu,0.0,Neutral,0.8481,Positive
26,Add more variety of curry and prepare a good chapati,  Add variety curry prepare good chapati,0.7,Positive,0.4404,Neutral
27,The food must be good.. and the area also should be clean and neat… the food is getting worse day by day…,  food must good area also clean neat food get bad day day,0.12222222222222227,Positive,0.6249,Positive
28,"Lack of leafy vegetables.Food was very good at starting 3weeks,now it's not like before.Lack of taste in curries",  Lack leafy vegetable Food good start week like Lack taste curry,0.7,Positive,0.2023,Neutral
29,Good,  Good,0.7,Positive,0.4404,Neutral
30,Sometimes very worst,  Sometimes bad,-0.6999999999999998,Negative,-0.5423,Negative
31,Dinner is not at all good and the taste of the food is also not good. Proper hygiene is not at all maintained.,  Dinner good taste food also good Proper hygiene maintain,0.4666666666666666,Positive,0.7003,Positive
32,Pls take care abt the hair in food and the quality of food.,  Pls take care abt hair food quality food,0.0,Neutral,0.5423,Positive
33,"The kitchen is unhygienic at times, we have seen a rat there twice. There are bugs everywhere, and often in the food also. People have fallen sick because of the food several times.",  kitchen unhygienic time see rat twice bug everywhere often food also People fall sick food several time,-0.35714285714285715,Negative,-0.5106,Negative
34,It can be more hygiene. Variety of food items can be served.,  hygiene Variety food item serve,0.0,Neutral,0.0,Neutral
35,The food provided is at times raw,  food provide time raw,-0.23076923076923078,Negative,0.0,Neutral
36,Better to Eat,  Better Eat,0.5,Positive,0.4404,Neutral
37,"Need of fruits(variety) for breakfast not dinner. Provide lemon and salad (carrots, tomato, cucumber, onion)every lunch and dinner.",  Need fruit variety breakfast dinner Provide lemon salad carrot tomato cucumber onion every lunch dinner,0.0,Neutral,0.0,Neutral
38,No comments,  comment,0.0,Neutral,0.0,Neutral
39,"Hygiene of overall mess should be improved,even at the washing areas.",  Hygiene overall mess improve even wash area,-0.0875,Negative,0.1027,Neutral
40,No change in curries,  change curry,0.0,Neutral,0.0,Neutral
41,Sometimes the food is very spicy and sometimes it is tasteless,  Sometimes food spicy sometimes tasteless,-0.6,Negative,0.0,Neutral
42,It is good ,  good,0.7,Positive,0.4404,Neutral
43,Need variety of Fruits,  Need variety Fruits,0.0,Neutral,0.0,Neutral
44,The fries were great too.,  fry great,0.8,Positive,0.6249,Positive
45,A great touch.,  great touch,0.8,Positive,0.6249,Positive
46,Service was very prompt.,  Service prompt,0.0,Neutral,0.0,Neutral
47,Would not go back.,  Would go back,0.0,Neutral,0.0,Neutral
48,Delicious food ,  Delicious food,1.0,Positive,0.5719,Positive
49,I tried the  chicken...mmmm!,  try chicken mmmm,-0.6,Negative,0.0,Neutral
