,Review,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis
0,Please improve the quality,  Please improve quality,0.0,Neutral,0.6369,Positive
1,please provide some other curries,  please provide curry,0.0,Neutral,0.3182,Neutral
2,Food is mediocre,  Food mediocre,-0.5,Negative,0.0,Neutral
3,Quality and hygiene levels aren't maintained,  Quality hygiene level maintain,0.0,Neutral,0.0,Neutral
4,The mess is dirtier the flies are all over,  mess dirty fly,0.008333333333333378,Positive,-0.6597,Negative
5,better can be improved,  well improve,0.0,Neutral,0.6124,Positive
6,Food is gross,  Food gross,0.0,Neutral,-0.4767,Neutral
7,Could improve the quality of food along with the hygeine,  Could improve quality food along hygeine,0.0,Neutral,0.4404,Neutral
8,Food is good but the chapatis needs to be soft sometimes,  Food good chapati need soft sometimes,0.39999999999999997,Positive,0.4404,Neutral
9,"Curries always watery, no taste or flavour",  Curries always watery taste flavour,0.0,Neutral,0.0,Neutral
10,The water leakage through mess ceiling should be fixed as soon as possible.,  water leakage mess ceiling fix soon possible,-0.0875,Negative,-0.3612,Neutral
11,Food not good at all,  Food good,0.7,Positive,0.4404,Neutral
12,should improve a lot,  improve lot,0.0,Neutral,0.4404,Neutral
13,They are very stingy in giving food if we ask them for extra roti or daal. Also they do not alow us to drink a proper glass of milk in the morning. Always force us to drink milk in small glasses. Each person has his or her own dietary requirements. Some are supposed to follow what doctor said as in my case. How can they stop us from taking anything we want even after paying so much money.,  stingy give food ask extra roti daal Also alow us drink proper glass milk morning Always force us drink milk small glass person dietary requirement suppose follow doctor say case stop us take anything want even pay much money,-0.012499999999999997,Negative,-0.5994,Negative
14,Zenith should take cooking classes from CRCL :⁠-⁠),  Zenith take cooking class CRCL,0.0,Neutral,0.0,Neutral
15,Taste is worst,  Taste bad,-0.6999999999999998,Negative,-0.5423,Negative
16,Plates aren't clean. Varieties are added from past two days only. Food quality is not good.,  Plates clean Varieties add past two day Food quality good,0.2722222222222222,Positive,0.6808,Positive
17,Quality and quantity should increase,  Quality quantity increase,0.0,Neutral,0.3182,Neutral
18,Zenith's food is like you just eat only to survive,  Zenith food like eat survive,0.0,Neutral,0.3612,Neutral
19,Lately it has been better but the hygiene is still below par.,  Lately well hygiene still par,-0.3,Negative,0.2732,Neutral
20,Variety and quantity served should be increased,  Variety quantity serve increase,0.0,Neutral,0.3182,Neutral
21,"Improper crowd management, food taste improvement required",  Improper crowd management food taste improvement require,0.0,Neutral,0.4588,Neutral
22,Improve the quality of phulkas,  Improve quality phulkas,0.0,Neutral,0.4404,Neutral
23,Serving of food is less,  Serving food less,-0.16666666666666666,Negative,0.0,Neutral
24,Zenith needs to change a lot.,  Zenith need change lot,0.0,Neutral,0.0,Neutral
25,Worst food,  Worst food,-1.0,Negative,-0.6249,Negative
26,Curries are not so tasty,  Curries tasty,0.0,Neutral,0.0,Neutral
27,It's better now,  well,0.0,Neutral,0.2732,Neutral
