,Review,Lemma,Polarity,Analysis,Vader Sentiment,Vader Analysis
0,Overall nice,  Overall nice,0.3,Positive,0.4215,Neutral
1,Taste is good ,  Taste good,0.7,Positive,0.4404,Neutral
2,Good,  Good,0.7,Positive,0.4404,Neutral
3,Better,  Better,0.5,Positive,0.4404,Neutral
4,"Everything is bad , we can't get our favourites",  Everything bad get favourite,-0.6999999999999998,Negative,-0.5423,Negative
5,Fried food quantity must be increased along with soft chapaties,  Fried food quantity must increase along soft chapati,0.1,Positive,0.3182,Neutral
6,Okay not bad food,  Okay bad food,-0.09999999999999992,Negative,-0.3818,Neutral
7,nice food,  nice food,0.6,Positive,0.4215,Neutral
8,chicken is nice,  chicken nice,0.0,Neutral,0.4215,Neutral
9,nice food,  nice food,0.6,Positive,0.4215,Neutral
10,Potatoes and Paneer fry is vey hard,  Potatoes Paneer fry vey hard,-0.2916666666666667,Negative,-0.1027,Neutral
11,Horrible our money is wasted,  Horrible money waste,-0.6,Negative,-0.743,Negative
12,Tasty,  Tasty,0.0,Neutral,0.0,Neutral
13,Nice only,  Nice,0.6,Positive,0.4215,Neutral
14,Better food compared to the other mess,  Better food compare mess,0.1625,Positive,0.1027,Neutral
15,Honeslty the food is better,  Honeslty food well,0.0,Neutral,0.2732,Neutral
16,Hygiene is not maintained,  Hygiene maintain,0.0,Neutral,0.0,Neutral
17,Need to improve quality and varities,  Need improve quality varities,0.0,Neutral,0.4404,Neutral
18,CRCL is great mess.,  CRCL great mess,0.3125,Positive,0.3818,Neutral
19,Need to improve the q waiting system and taste of food remains the same almost everyday,  Need improve q wait system taste food remain almost everyday,-0.2,Negative,0.4404,Neutral
20,Overall best,  Overall best,0.5,Positive,0.6369,Positive
21,Require more curries,  Require curry,0.0,Neutral,0.0,Neutral
22,Can't eat,  eat,0.0,Neutral,0.0,Neutral
23,Somewhat better,  Somewhat good,0.7,Positive,0.3832,Neutral
24,the quality of food is good,  quality food good,0.7,Positive,0.4404,Neutral
25,the hygine is not upto the mark,  hygine upto mark,0.0,Neutral,0.0,Neutral
26,The curries are good,  curry good,0.7,Positive,0.4404,Neutral
27,The food is exiquiste,  food exiquiste,0.0,Neutral,0.0,Neutral
28,roties are literaly the worst ,  roties literaly bad,-0.6999999999999998,Negative,-0.5423,Negative
29,The curries are not upto mark.,  curry upto mark,0.0,Neutral,0.0,Neutral
30,Good food and good hygiene,  Good food good hygiene,0.7,Positive,0.7003,Positive
31,The salt and spice is very less,  salt spice less,-0.16666666666666666,Negative,0.0,Neutral
32,Rooti's are so good,  Rooti good,0.7,Positive,0.4404,Neutral
33,Dal is not good,  Dal good,0.7,Positive,0.4404,Neutral
34,Food is not hot and not good,  Food hot good,0.475,Positive,0.4404,Neutral
35,The quality is good,  quality good,0.7,Positive,0.4404,Neutral
36,The hygine is very bad and food is not tasty,  hygine bad food tasty,-0.6999999999999998,Negative,-0.5423,Negative
37,The serving is not good ,  serving good,0.7,Positive,0.4404,Neutral
38,The quality is better ,  quality well,0.0,Neutral,0.2732,Neutral
39,Not quite happy with the quantity of food,  quite happy quantity food,0.8,Positive,0.6115,Positive
40,Spice is good ,  Spice good,0.7,Positive,0.4404,Neutral
41,Biryani is good and overall taste is also good,  Biryani good overall taste also good,0.4666666666666666,Positive,0.7003,Positive
42,Not serving hot food and taste is very bad,  serve hot food taste bad,-0.22499999999999992,Negative,-0.5423,Negative
43,Overall the curries are good,  Overall curry good,0.35,Positive,0.4404,Neutral
44,Roti's and curries are good,  Roti curry good,0.7,Positive,0.4404,Neutral
45,No hygine and and the serving is very bad,  hygine serving bad,-0.6999999999999998,Negative,-0.5423,Negative
46,My overall experience is good,  overall experience good,0.35,Positive,0.4404,Neutral
47,The quantity of food is not sufficient,  quantity food sufficient,0.0,Neutral,0.0,Neutral
48,non veg is so good ,  non veg good,0.7,Positive,0.4404,Neutral
49,sweets are good should give more,  sweet good give,0.5249999999999999,Positive,0.7096,Positive
50,Generous portions and great taste.,  Generous portion great taste,0.8,Positive,0.8126,Positive
51,Food was new,  Food new,0.13636363636363635,Positive,0.0,Neutral
52,clean tables ,  clean table,0.3666666666666667,Positive,0.4019,Neutral
53,aunties are nice ,  aunty nice,0.6,Positive,0.4215,Neutral
54,i liked the biryani ,  like biryani,0.0,Neutral,0.3612,Neutral
55,enoigh food for everyone ,  enoigh food everyone,0.0,Neutral,0.0,Neutral
56,more varieties of fruits must be given,  variety fruit must give,0.0,Neutral,0.0,Neutral
57, non veg is good,  non veg good,0.7,Positive,0.4404,Neutral
58,Potatoes and Paneer fry is vey hard,  Potatoes Paneer fry vey hard,-0.2916666666666667,Negative,-0.1027,Neutral
59,Horrible our money is wasted,  Horrible money waste,-0.6,Negative,-0.743,Negative
60,okay okay,  okay okay,0.5,Positive,0.4215,Neutral
61,"some curries are good , but the panneer quality isn't good",  curry good panneer quality good,0.7,Positive,0.7003,Positive
62,Better food compared to the other mess,  Better food compare mess,0.1625,Positive,0.1027,Neutral
63,oily food,  oily food,0.0,Neutral,0.0,Neutral
64,hard food,  hard food,-0.2916666666666667,Negative,-0.1027,Neutral
65,i prefer soft food,  prefer soft food,0.1,Positive,0.0,Neutral
66,food is too oily,  food oily,0.0,Neutral,0.0,Neutral
67,scrambled egg is too oily,  scramble egg oily,0.0,Neutral,0.0,Neutral
68,Noice only,  Noice,0.0,Neutral,0.0,Neutral
69,no place to complain ,  place complain,0.0,Neutral,-0.3612,Neutral
70,might give me a heart attack.,  might give heart attack,0.0,Neutral,-0.4767,Neutral
71,so rude,  rude,-0.3,Negative,-0.4588,Neutral
72,noicceee,  noicceee,0.0,Neutral,0.0,Neutral
73,delicacies,  delicacy,0.0,Neutral,0.0,Neutral
74,half food missing.,  half food miss,-0.16666666666666666,Negative,-0.1531,Neutral
75,worstt,  worstt,0.0,Neutral,0.0,Neutral
76,ask them to leave ,  ask leave,0.0,Neutral,-0.0516,Neutral
77,quality not there,  quality,0.0,Neutral,0.0,Neutral
78,noice almost everything is available,  noice almost everything available,0.4,Positive,0.0,Neutral
79,i never liked this mess,  never like mess,-0.175,Negative,0.0,Neutral
80,The WORST MANAGEMENT EVER.,  WORST MANAGEMENT EVER,-1.0,Negative,-0.6249,Negative
81,they should be sued ,  sue,0.0,Neutral,0.0,Neutral
82,insects and bugs and hair in my food ,  insect bug hair food,0.0,Neutral,0.0,Neutral
83,so much delay for worst food ,  much delay bad food,-0.24999999999999992,Negative,-0.7003,Negative
84,exquisite,  exquisite,1.0,Positive,0.0,Neutral
85,Soggy and not good.,  Soggy good,0.7,Positive,0.4404,Neutral
86,Which are small and not worth the price.,  small worth price,0.024999999999999994,Positive,0.2263,Neutral
87,rude rude rude ,  rude rude rude,-0.3,Negative,-0.8402,Negative
88,yuck yuck,  yuck yuck,0.0,Neutral,0.0,Neutral
89,ALL needed salt and pepper,  need salt pepper,0.0,Neutral,0.0,Neutral
90,bring someone who can cook can come in.,  bring someone cook come,0.0,Neutral,0.0,Neutral
91,"It was either too cold, not enough flavor or just bad.",  either cold enough flavor bad,-0.4333333333333333,Negative,-0.5423,Negative
92,cooks are uninspired.,  cook uninspired,-0.5,Negative,0.0,Neutral
93,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying people.",  food bad enough enjoy deal world bad annoy people,-0.24999999999999992,Negative,-0.7717,Negative
94,hospital food is better,  hospital food well,0.0,Neutral,0.2732,Neutral
95,nice yummy,  nice yummy,0.6,Positive,0.7351,Positive
96,tasty food,  tasty food,0.0,Neutral,0.0,Neutral
97,okay good ,  okay good,0.6,Positive,0.5859,Positive
98,noicee ,  noicee,0.0,Neutral,0.0,Neutral
99,good food on sunday ,  good food sunday,0.7,Positive,0.4404,Neutral
100,Mess Management was super friendly.,  Mess Management super friendly,0.17777777777777778,Positive,0.6808,Positive
101,Why are these sad little vegetables so overcooked?,  sad little vegetable overcook,-0.34375,Negative,-0.4767,Neutral
102,Curries are good and rice is also good,  Curries good rice also good,0.7,Positive,0.7003,Positive
103, delicious.,  delicious,1.0,Positive,0.5719,Positive
104,"I had high hopes for this mess but unfortunately the taste fell flat, way flat.",  high hope mess unfortunately taste fell flat way flat,-0.11300000000000002,Negative,-0.25,Neutral
105,food is devine,  food devine,0.0,Neutral,0.0,Neutral
106,quality and hygiene is disastrous,  quality hygiene disastrous,-0.7,Negative,-0.5994,Negative
